winner,loser,winner_rating_before,loser_rating_before,winner_rating_after,loser_rating_after,winner_expected,rating_change_winner,rating_change_loser
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-66116.0,-66116.0,-66100.0,-66132.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-66868.0,-66868.0,-66852.0,-66884.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-63460.0,-63460.0,-63444.0,-63476.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-68804.0,-68804.0,-68788.0,-68820.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-65108.0,-65108.0,-65092.0,-65124.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-66324.0,-66324.0,-66308.0,-66340.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-71124.0,-71124.0,-71108.0,-71140.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-18297.141104950526,-18297.141104950526,-18281.141104950526,-18313.141104950526,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-71844.0,-71844.0,-71828.0,-71860.0,0.5,16.0,-16.0
sup4_t0.7,sup4_t0.7,-19385.14110500175,-19385.14110500175,-19369.14110500175,-19401.14110500175,0.5,16.0,-16.0
sup4_ppo_rm3_kl10,sup4_ppo_rm3_kl10,-69188.0,-69188.0,-69172.0,-69204.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-73300.0,-73300.0,-73284.0,-73316.0,0.5,16.0,-16.0
sup4_ppo_rm3_kl20,sup4_ppo_rm3_kl20,-74228.0,-74228.0,-74212.0,-74244.0,0.5,16.0,-16.0
ref,sup4_t0.7,-4436.830850203143,-19961.1411051202,-4436.830850199944,-19961.141105123403,0.9999999999,3.1996023608371615e-09,-3.2014213502407074e-09
sup4_t0.7,ref,-20025.14110515862,-4564.830850164748,-19993.14110516182,-4596.830850161548,9.999999999e-11,31.99999999679858,-31.999999996800398
